country,brand,cars_sold,country_total,share
Austria,Mercedes-Benz,20931,383749,0.05454346460837683
Austria,Mitsubishi,5643,383749,0.014704924312506352
Austria,Nissan,7008,383749,0.018261936838923357
Austria,Opel,21476,383749,0.05596366374896091
Austria,Other,403,383749,0.001050165603037402
Austria,Peugeot,14577,383749,0.03798576673815437
Austria,Porsche,1338,383749,0.0034866540368834837
Austria,Renault,22677,383749,0.05909331359821133
Austria,SEAT,18713,383749,0.04876364498669703
Austria,Skoda,25434,383749,0.06627769714057886
Austria,Ssangyong,205,383749,0.0005342033464582318
Austria,Subaru,742,383749,0.0019335555271805269
Austria,Suzuki,8476,383749,0.022087353973560844
Austria,Tesla,473,383749,0.0012325765018280177
Austria,Toyota,8879,383749,0.023137519576598244
Austria,VW,65990,383749,0.1719613601598962
Austria,Volvo Cars,4066,383749,0.010595467349752051
Austria,smart,1470,383749,0.0038306288746029304
Belgium,Alfa Romeo,3011,624935,0.004818101082512581
Belgium,Audi,28710,624935,0.04594077784089545
Belgium,BMW,40004,624935,0.06401305735796523
Belgium,Citroen,32799,624935,0.05248385832126541
Belgium,DS,1863,624935,0.002981110035443686
Belgium,Dacia,20915,624935,0.03346748061798427
Belgium,Fiat,23451,624935,0.03752550265227584
Belgium,Ford,34080,624935,0.05453367150183619
Belgium,Honda,3093,624935,0.004949314728731788
Belgium,Hyundai,21853,624935,0.03496843671741861
Belgium,Infiniti,166,624935,0.0002656276252730284
Belgium,Isuzu,369,624935,0.0005904614079864306
Belgium,Iveco,1817,624935,0.002907502380247546
Belgium,Jaguar,3957,624935,0.006331858513285381
Belgium,Jeep,4942,624935,0.00790802243433317
Belgium,Kia,13950,624935,0.02232232152143823
Belgium,Land Rover,6274,624935,0.010039444102186627
Belgium,Lexus,1452,624935,0.0023234416379303447
Belgium,MINI,8201,624935,0.013122964788337988
Belgium,Maserati,222,624935,0.0003552369446422428
Belgium,Mazda,8693,624935,0.013910246665653228
Belgium,Mercedes-Benz,42376,624935,0.06780865209981839
Belgium,Mitsubishi,3368,624935,0.0053893604934913235
Belgium,Mitsubishi Fuso,132,624935,0.0002112219670845768
Belgium,Nissan,21039,624935,0.03366590125373039
Belgium,Opel,38754,624935,0.06201284933633098
Belgium,Other,234,624935,0.0003744389416499316
Belgium,Peugeot,52876,624935,0.08461039948154608
Belgium,Porsche,3220,624935,0.005152535863729828
Belgium,Renault,61722,624935,0.09876547160904735
Belgium,SEAT,9530,624935,0.015249585956939522
