country,gdp_per_capita,brand,cars_sold,country_total,share
Canada,44917,GMC,94241,2033585,0.0463422969779969
Canada,44917,Honda,175042,2033585,0.0860755758918363
Canada,44917,Hyundai,127839,2033585,0.06286385865356
Canada,44917,Infiniti,12581,2033585,0.0061866113292535
Canada,44917,Jeep,71583,2033585,0.0352003973278717
Canada,44917,Kia,73009,2033585,0.0359016220123574
Canada,44917,Lexus,24111,2033585,0.0118564013798292
Canada,44917,Lincoln,8197,2033585,0.0040308125797544
Canada,44917,Mazda,73869,2033585,0.036324520489677
Canada,44917,Mercedes Benz,49413,2033585,0.0242984679765045
Canada,44917,Mitsubishi,25237,2033585,0.0124101033396686
Canada,44917,Nissan,136536,2033585,0.0671405424410585
Canada,44917,Porsche,8904,2033585,0.0043784744675044
Canada,44917,Subaru,58070,2033585,0.0285554820673834
Canada,44917,Toyota,207535,2033585,0.1020537621982853
Canada,44917,Volkswagen,72210,2033585,0.0355087198223826
Canada,44917,Volvo,9217,2033585,0.0045323898435521
Chile,13886,Audi,1890,431869,0.0043763270806656
Chile,13886,BMW,4289,431869,0.0099312523010449
Chile,13886,Chevrolet,37716,431869,0.0873320381875059
Chile,13886,Chrysler,8574,431869,0.0198532425341943
Chile,13886,Ford,19397,431869,0.0449140827426835
Chile,13886,Honda,4200,431869,0.0097251712903681
Chile,13886,Hyundai,33397,431869,0.077331320377244
Chile,13886,Kia,32432,431869,0.0750968464974332
Chile,13886,Lexus,341,431869,0.0007895912880989
Chile,13886,Mazda,19752,431869,0.045736091268417
Chile,13886,Mercedes Benz,10209,431869,0.0236391127865162
Chile,13886,Mitsubishi,15720,431869,0.0363999268296636
Chile,13886,Nissan,30535,431869,0.0707043107979503
Chile,13886,Porsche,324,431869,0.0007502274995426
Chile,13886,Subaru,7992,431869,0.0185056116553862
Chile,13886,Toyota,29951,431869,0.0693520488851943
Chile,13886,Volkswagen,17077,431869,0.039542083363242
Chile,13886,Volvo,2191,431869,0.0050732976898087
China,9619,Acura,9424,28075318,0.0003356685042712
China,9619,Audi,620305,28075318,0.0220943178631137
China,9619,BMW,466053,28075318,0.0166000969249929
China,9619,Buick,1068199,28075318,0.0380476189085373
China,9619,Cadillac,228043,28075318,0.0081225437945173
China,9619,Chevrolet,673375,28075318,0.0239845903081133
China,9619,Ford,383462,28075318,0.0136583314924518
China,9619,Honda,1465333,28075318,0.0521929261851994
China,9619,Hyundai,810177,28075318,0.0288572688651291
China,9619,Infiniti,28868,28075318,0.0010282341236526
China,9619,Jeep,124800,28075318,0.0044451856253239
China,9619,Kia,371262,28075318,0.0132237861027967
China,9619,Mazda,281358,28075318,0.0100215427657845
China,9619,Mercedes Benz,512445,28075318,0.0182525091968682
China,9619,Mitsubishi,144018,28075318,0.0051297014694544
China,9619,Nissan,1177736,28075318,0.0419491597566232
China,9619,Toyota,1298568,28075318,0.0462530112748856
China,9619,Volkswagen,3129744,28075318,0.1114767070492309
China,9619,Volvo,169555,28075318,0.0060392904543414
Colombia,6271,Audi,1404,256540,0.0054728307476416
Colombia,6271,BMW,3671,256540,0.0143096593123879
Colombia,6271,Chevrolet,49968,256540,0.1947766430186325
Colombia,6271,Dodge,966,256540,0.0037654946597021
Colombia,6271,Ford,12434,256540,0.048468075153972
Colombia,6271,Honda,2429,256540,0.0094683090356279
Colombia,6271,Hyundai,4967,256540,0.0193615030794418
Colombia,6271,Jeep,1622,256540,0.0063226007640134
Colombia,6271,Kia,21313,256540,0.0830786621969283
Colombia,6271,Mazda,21311,256540,0.0830708661417322
Colombia,6271,Mercedes Benz,4346,256540,0.0169408279410618
Colombia,6271,Mitsubishi,1408,256540,0.0054884228580338
Colombia,6271,Nissan,23217,256540,0.0905005067435877
Colombia,6271,Porsche,236,256540,0.0009199345131363
Colombia,6271,Subaru,1541,256540,0.0060068605285725
Colombia,6271,Toyota,13953,256540,0.0543891790753878
Colombia,6271,Volkswagen,13372,256540,0.0521244250409292
Colombia,6271,Volvo,931,256540,0.0036290636937709
Croatia,13519,Audi,2116,59607,0.0354991863371751
Croatia,13519,BMW,1793,59607,0.0300803596892982
Croatia,13519,Chrysler,161,59607,0.0027010250473937
Croatia,13519,Ford,4361,59607,0.0731625480228832
Croatia,13519,Honda,205,59607,0.0034391933833274
Croatia,13519,Hyundai,2601,59607,0.0436358145855352
Croatia,13519,Kia,1938,59607,0.0325129598872615
Croatia,13519,Mazda,1637,59607,0.0274632174073514
Croatia,13519,Mercedes Benz,1808,59607,0.0303320079856392
Croatia,13519,Mitsubishi,323,59607,0.0054188266478769
Croatia,13519,Nissan,1256,59607,0.0210713506802892
Croatia,13519,Toyota,2338,59607,0.0392235811230224
Croatia,13519,Volkswagen,8367,59607,0.1403694196990286
Croatia,13519,Volvo,389,59607,0.0065260791517774
Czech Republic,19685,Audi,2450,280362,0.0087387021065622
Czech Republic,19685,BMW,5695,280362,0.0203130238762742
Czech Republic,19685,Ford,14769,280362,0.0526783230252316
Czech Republic,19685,Honda,2003,280362,0.0071443348242629
Czech Republic,19685,Hyundai,20593,280362,0.0734514663185453
Czech Republic,19685,Jeep,966,280362,0.0034455454020159
Czech Republic,19685,Kia,10422,280362,0.0371733687161598
Czech Republic,19685,Lexus,394,280362,0.0014053259714226
Czech Republic,19685,Mazda,3317,280362,0.0118311326071293
Czech Republic,19685,Mercedes Benz,8194,280362,0.0292265000249677
Czech Republic,19685,Mitsubishi,2522,280362,0.0089955129439795
Czech Republic,19685,Nissan,5647,280362,0.0201418166513293
Czech Republic,19685,Porsche,316,280362,0.0011271142308872
Czech Republic,19685,Subaru,1370,280362,0.0048865395453021
Czech Republic,19685,Toyota,10280,280362,0.0366668806756978
Czech Republic,19685,Volkswagen,26919,280362,0.0960151518394076
Czech Republic,19685,Volvo,2154,280362,0.007682924219402
Denmark,56563,Audi,8122,256552,0.0316582992921513
Denmark,56563,BMW,7616,256552,0.0296859895849574
Denmark,56563,Ford,20930,256552,0.081581901524837
Denmark,56563,Honda,1627,256552,0.0063417942561352
Denmark,56563,Hyundai,8083,256552,0.031506283326577
Denmark,56563,Jeep,111,256552,0.0004326608250958
Denmark,56563,Kia,7884,256552,0.0307306121176213
Denmark,56563,Mazda,4789,256552,0.0186667810034612
Denmark,56563,Mercedes Benz,16530,256552,0.0644313823318469
Denmark,56563,Mitsubishi,1046,256552,0.0040771461536062
Denmark,56563,Nissan,11071,256552,0.0431530449967258
Denmark,56563,Porsche,120,256552,0.000467741432536
Denmark,56563,Subaru,389,256552,0.0015162618104711
Denmark,56563,Toyota,18023,256552,0.0702508653216501
Denmark,56563,Volkswagen,36914,256552,0.1438850603386448
Denmark,56563,Volvo,4806,256552,0.0187330443730705
Egypt,3831,Chevrolet,39546,193203,0.2046862626356733
Egypt,3831,Ford,3303,193203,0.0170960078259654
Egypt,3831,Honda,330,193203,0.0017080480116768
Egypt,3831,Hyundai,30791,193203,0.1593712312955802
Egypt,3831,Jeep,1904,193203,0.0098549194370687
Egypt,3831,Kia,9398,193203,0.04864313701133
Egypt,3831,Mazda,800,193203,0.0041407224525499
Egypt,3831,Mercedes Benz,1403,193203,0.0072617920011594
Egypt,3831,Mitsubishi,4894,193203,0.025330869603474
Egypt,3831,Nissan,26298,193203,0.1361158988214468
Egypt,3831,Subaru,1808,193203,0.0093580327427627
Egypt,3831,Toyota,13081,193203,0.0677059880022566
Estonia,19677,Audi,424,25983,0.0163183620059269
Estonia,19677,BMW,391,25983,0.0150483008120694
Estonia,19677,Ford,455,25983,0.0175114497940961
Estonia,19677,Honda,1225,25983,0.0471462109841049
Estonia,19677,Hyundai,956,25983,0.0367932879190239
Estonia,19677,Jeep,140,25983,0.0053881383981834
Estonia,19677,Kia,1743,25983,0.0670823230573836
Estonia,19677,Lexus,160,25983,0.0061578724550667
Estonia,19677,Mazda,528,25983,0.0203209791017203
Estonia,19677,Mercedes Benz,436,25983,0.0167802024400569
Estonia,19677,Mitsubishi,164,25983,0.0063118192664434
Estonia,19677,Nissan,794,25983,0.0305584420582688
Estonia,19677,Porsche,128,25983,0.0049262979640534
Estonia,19677,Subaru,917,25983,0.0352923065081014
Estonia,19677,Toyota,4107,25983,0.1580648885809952
Estonia,19677,Volkswagen,1891,25983,0.0727783550783204
Estonia,19677,Volvo,419,25983,0.0161259284917061
Finland,45628,Audi,4917,138972,0.0353812278732406
Finland,45628,BMW,4632,138972,0.0333304550556946
Finland,45628,Ford,12646,138972,0.0909967475462683
Finland,45628,Honda,1749,138972,0.0125852689750453
Finland,45628,Hyundai,4032,138972,0.0290130385977031
Finland,45628,Kia,6272,138972,0.0451313933742048
Finland,45628,Lexus,329,138972,0.0023673833577986
Finland,45628,Mazda,1770,138972,0.012736378551075
Finland,45628,Mercedes Benz,9114,138972,0.0655815559968914
Finland,45628,Mitsubishi,1075,138972,0.0077353711539015
Finland,45628,Nissan,7900,138972,0.0568459833635552
Finland,45628,Porsche,316,138972,0.0022738393345422
Finland,45628,Subaru,1235,138972,0.0088866822093659
Finland,45628,Toyota,16943,138972,0.1219166450795843
Finland,45628,Volkswagen,17257,138972,0.1241760930259332
Finland,45628,Volvo,8995,138972,0.0647252683993898
France,38291,Audi,51575,2656615,0.0194138029033187
France,38291,BMW,57437,2656615,0.0216203702832363
France,38291,Ferrari,273,2656615,0.0001027623498323
France,38291,Ford,113725,2656615,0.0428082352919034
France,38291,Honda,8310,2656615,0.0031280407586345
France,38291,Hyundai,35541,2656615,0.0133783028402685
France,38291,Infiniti,945,2656615,0.0003557158263429
France,38291,Jeep,14461,2656615,0.0054433931902063
France,38291,Kia,42337,2656615,0.0159364454390267
France,38291,Lexus,6095,2656615,0.0022942729751958
France,38291,Mazda,11129,2656615,0.0041891655358416
France,38291,Mercedes Benz,95100,2656615,0.0357974339526051
France,38291,Mitsubishi,6512,2656615,0.0024512396414233
France,38291,Nissan,68936,2656615,0.0259488107987043
France,38291,Porsche,4565,2656615,0.0017183521134978
France,38291,Subaru,720,2656615,0.0002710215819755
France,38291,Toyota,104353,2656615,0.0392804376998548
France,38291,Volkswagen,161351,2656615,0.0607355601018589
France,38291,Volvo,18293,2656615,0.0068858302764984
Germany,42973,Audi,253344,3761207,0.0673571010582507
Germany,42973,BMW,264153,3761207,0.070230912576734
Germany,42973,Cadillac,589,3761207,0.0001565986663323
Germany,42973,Chevrolet,1090,3761207,0.0002898005879495
Germany,42973,Ferrari,688,3761207,0.0001829200041369
Germany,42973,Ford,302114,3761207,0.0803236833282507
Germany,42973,Honda,18627,3761207,0.004952399588749
Germany,42973,Hyundai,115712,3761207,0.0307645923236875
Germany,42973,Infiniti,756,3761207,0.0002009993068714
Germany,42973,Jeep,17120,3761207,0.0045517303355013
Germany,42973,Kia,65803,3761207,0.0174951817328852
Germany,42973,Lamborghini,467,3761207,0.0001241622702499
Germany,42973,Lexus,2766,3761207,0.0007354022259343
Germany,42973,Mazda,67426,3761207,0.0179266921496211
Germany,42973,Mercedes Benz,319141,3761207,0.0848506875585417
Germany,42973,Mitsubishi,53790,3761207,0.0143012602071622
Germany,42973,Nissan,56502,3761207,0.0150223053397486
Germany,42973,Porsche,27768,3761207,0.0073827364460397
Germany,42973,Subaru,7269,3761207,0.0019326242878948
Germany,42973,Toyota,87821,3761207,0.0233491536094663
Germany,42973,Volkswagen,701095,3761207,0.1864015992738501
Germany,42973,Volvo,45349,3761207,0.0120570338191968
Greece,18647,Audi,2662,109939,0.0242134274461292
Greece,18647,BMW,2864,109939,0.0260508099946333
Greece,18647,Ford,5484,109939,0.0498822074059251
Greece,18647,Honda,686,109939,0.0062398239023458
Greece,18647,Hyundai,5722,109939,0.0520470442700042
Greece,18647,Jeep,1159,109939,0.0105422097708729
Greece,18647,Kia,2830,109939,0.0257415475854792
Greece,18647,Mercedes Benz,4143,109939,0.0376845341507563
Greece,18647,Mitsubishi,506,109939,0.0046025523244708
Greece,18647,Nissan,8519,109939,0.0774884253995397
Greece,18647,Toyota,12866,109939,0.117028534005221
Greece,18647,Volkswagen,9474,109939,0.0861750607154876
Greece,18647,Volvo,1695,109939,0.0154176406916562
Hungary,14379,Audi,3193,136423,0.0234051442938507
Hungary,14379,BMW,3106,136423,0.0227674219156593
Hungary,14379,Chrysler,427,136423,0.0031299707527323
Hungary,14379,Ford,18387,136423,0.1347793260667189
Hungary,14379,Honda,3876,136423,0.0284116314697668
Hungary,14379,Hyundai,3751,136423,0.0274953636850091
Hungary,14379,Kia,3693,136423,0.0270702154328815
Hungary,14379,Mazda,2809,136423,0.020590369659075
Hungary,14379,Mercedes Benz,2332,136423,0.0170938917924396
Hungary,14379,Mitsubishi,1801,136423,0.0132015862427889
Hungary,14379,Nissan,5159,136423,0.0378162040125198
Hungary,14379,Subaru,527,136423,0.0038629849805384
Hungary,14379,Toyota,10047,136423,0.073645939467685
Hungary,14379,Volkswagen,11139,136423,0.0816504548353283
Hungary,14379,Volvo,3120,136423,0.0228700439075522
India,1914,Ford,97804,4398461,0.0222359593503273
India,1914,Honda,174859,4398461,0.0397545868884594
India,1914,Hyundai,550002,4398461,0.1250441915933777
India,1914,Jeep,18286,4398461,0.0041573632231819
India,1914,Mitsubishi,297,4398461,6.75236179199952e-05
India,1914,Nissan,7211,4398461,0.0016394370667376
India,1914,Toyota,151480,4398461,0.0344393186616864
India,1914,Volkswagen,37038,4398461,0.008420672594346
Indonesia,3732,BMW,2360,1051125,0.0022452134617671
Indonesia,3732,Chevrolet,2509,1051125,0.0023869663455821
Indonesia,3732,Honda,162170,1051125,0.1542823165655845
Indonesia,3732,Hyundai,1415,1051125,0.0013461767154239
Indonesia,3732,Kia,191,1051125,0.0001817100725413
Indonesia,3732,Lexus,1310,1051125,0.001246283743608
Indonesia,3732,Mazda,5657,1051125,0.0053818527767867
Indonesia,3732,Mercedes Benz,3859,1051125,0.0036713045546438
Indonesia,3732,Mitsubishi,142861,1051125,0.1359124747294565
Indonesia,3732,Nissan,6885,1051125,0.0065501248662147
Indonesia,3732,Toyota,350872,1051125,0.3338061600665953
Indonesia,3732,Volkswagen,511,1051125,0.0004861457961707
Ireland,72607,Audi,4924,152706,0.0322449674538001
Ireland,72607,BMW,4289,152706,0.0280866501643681
Ireland,72607,Ford,17408,152706,0.1139968305109164
Ireland,72607,Honda,1333,152706,0.0087291920422249
Ireland,72607,Hyundai,11804,152706,0.0772988618652836
Ireland,72607,Kia,7454,152706,0.0488127512998834
Ireland,72607,Lexus,484,152706,0.0031694890835985
Ireland,72607,Mazda,2227,152706,0.014583578903252
Ireland,72607,Mercedes Benz,5435,152706,0.035591266878839
Ireland,72607,Mitsubishi,1279,152706,0.0083755713593441
Ireland,72607,Nissan,10858,152706,0.0711039513837046
Ireland,72607,Subaru,205,152706,0.0013424488887142
Ireland,72607,Toyota,14444,152706,0.0945869841394575
Ireland,72607,Volkswagen,18669,152706,0.1222545283093002
Ireland,72607,Volvo,1730,152706,0.0113289589145154
Israel,38301,Audi,4031,266704,0.015114134021237
Israel,38301,BMW,3385,266704,0.0126919731237626
Israel,38301,Cadillac,463,266704,0.0017360069590257
Israel,38301,Chevrolet,6297,266704,0.0236104445377647
Israel,38301,Chevrolet,675,266704,0.0025308956746055
Israel,38301,Ford,1668,266704,0.0062541244225808
Israel,38301,Honda,6237,266704,0.0233854760333553
Israel,38301,Hyundai,38459,266704,0.1442010618513408
Israel,38301,Infiniti,531,266704,0.001990971264023
Israel,38301,Jeep,1012,266704,0.0037944687743715
Israel,38301,Kia,35514,266704,0.1331588577599136
Israel,38301,Lexus,1520,266704,0.0056992021117043
Israel,38301,Mazda,13257,266704,0.0497067910492531
Israel,38301,Mercedes Benz,3688,266704,0.01382806407103
Israel,38301,Mitsubishi,12988,266704,0.0486981822544843
Israel,38301,Nissan,15499,266704,0.058113114164017
Israel,38301,Porsche,283,266704,0.0010611014457975
Israel,38301,Subaru,5759,266704,0.0215932269482272
Israel,38301,Toyota,26673,266704,0.100009748635191
Israel,38301,Volkswagen,5936,266704,0.0222568840362349
Israel,38301,Volvo,1608,266704,0.0060291559181714
Italy,31593,Audi,63505,2082523,0.0304942610477771
Italy,31593,BMW,58039,2082523,0.0278695601441136
Italy,31593,Ferrari,399,2082523,0.0001915945226055
Italy,31593,Ford,150241,2082523,0.0721437410295108
Italy,31593,Honda,8856,2082523,0.0042525340656501
Italy,31593,Hyundai,53455,2082523,0.0256683839746307
Italy,31593,Infiniti,600,2082523,0.0002881120640684
Italy,31593,Jeep,84582,2082523,0.040615157671728
Italy,31593,Kia,48645,2082523,0.0233586855943487
Italy,31593,Lamborghini,212,2082523,0.0001017995959708
Italy,31593,Lexus,3970,2082523,0.0019063414905861
Italy,31593,Mazda,10866,2082523,0.0052177094802794
Italy,31593,Mercedes Benz,68413,2082523,0.0328510177318569
Italy,31593,Mitsubishi,7140,2082523,0.0034285335624144
Italy,31593,Nissan,61121,2082523,0.0293494957798785
Italy,31593,Porsche,5291,2082523,0.0025406682183101
Italy,31593,Subaru,3438,2082523,0.0016508821271121
Italy,31593,Toyota,89775,2082523,0.0431087675862403
Italy,31593,Volkswagen,171383,2082523,0.0822958497937357
Italy,31593,Volvo,19342,2082523,0.0092877725720196
Japan,36117,Audi,26473,5256140,0.0050365857834836
Japan,36117,BMW,51235,5256140,0.009747647513194
Japan,36117,Cadillac,633,5256140,0.0001204305821382
Japan,36117,Chevrolet,878,5256140,0.0001670427347825
Japan,36117,Dodge,399,5256140,7.59112200207757e-05
Japan,36117,Ferrari,767,5256140,0.0001459245758294
Japan,36117,Ford,484,5256140,9.208278318309634e-05
Japan,36117,Honda,747226,5256140,0.1421624994768023
Japan,36117,Jeep,11438,5256140,0.0021761216405955
Japan,36117,Lamborghini,543,5256140,0.0001033077505545
Japan,36117,Lexus,55096,5256140,0.0104822169881319
Japan,36117,Mazda,220743,5256140,0.0419971690251781
Japan,36117,Mercedes Benz,67560,5256140,0.0128535389087809
Japan,36117,Mitsubishi,104591,5256140,0.0198988230907091
Japan,36117,Nissan,616033,5256140,0.1172025478773396
Japan,36117,Porsche,7166,5256140,0.0013633579014257
Japan,36117,Subaru,148453,5256140,0.0282437301898351
Japan,36117,Toyota,1508647,5256140,0.2870256500017122
Japan,36117,Volkswagen,51961,5256140,0.0098857716879687
Japan,36117,Volvo,17392,5256140,0.003308892076695
Kazakhstan,11053,Audi,187,61764,0.003027653649375
Kazakhstan,11053,BMW,544,61764,0.0088077197072728
Kazakhstan,11053,Chevrolet,1135,61764,0.0183764004921961
Kazakhstan,11053,Ford,225,61764,0.003642898775986
Kazakhstan,11053,Hyundai,9072,61764,0.1468816786477559
Kazakhstan,11053,Infiniti,205,61764,0.0033190855514539
Kazakhstan,11053,Kia,2867,61764,0.046418625736675
Kazakhstan,11053,Lexus,1425,61764,0.0230716922479114
Kazakhstan,11053,Mazda,340,61764,0.0055048248170455
Kazakhstan,11053,Mercedes Benz,461,61764,0.0074638948254646
Kazakhstan,11053,Mitsubishi,536,61764,0.00867819441746
Kazakhstan,11053,Nissan,2423,61764,0.0392299721520626
Kazakhstan,11053,Porsche,152,61764,0.0024609805064438
Kazakhstan,11053,Subaru,727,61764,0.0117706107117414
Kazakhstan,11053,Toyota,12302,61764,0.1991775144096885
Kazakhstan,11053,Volkswagen,1550,61764,0.0250955249012369
Korea,31053,Audi,12450,1812994,0.0068670938789648
Korea,31053,BMW,50524,1812994,0.0278677149510698
Korea,31053,Cadillac,2101,1812994,0.0011588565654381
Korea,31053,Chevrolet,72643,1812994,0.0400679759557946
Korea,31053,Ford,8630,1812994,0.0047600819418045
Korea,31053,Honda,7956,1812994,0.004388321196871
Korea,31053,Hyundai,659755,1812994,0.3639035760736108
Korea,31053,Infiniti,2130,1812994,0.0011748522057988
Korea,31053,Jeep,7590,1812994,0.0041864451840436
Korea,31053,Kia,531700,1812994,0.2932717924052699
Korea,31053,Lexus,13340,1812994,0.0073579945658948
Korea,31053,Lincoln,2956,1812994,0.0016304521691743
Korea,31053,Mercedes Benz,70798,1812994,0.0390503222845745
Korea,31053,Nissan,5053,1812994,0.0027871024393903
Korea,31053,Porsche,4285,1812994,0.002363493756736
